data_feed_id,merchant_id,merchant_name,aw_product_id,aw_deep_link,aw_image_url,aw_thumb_url,category_id,category_name,brand_id,brand_name,merchant_product_id,merchant_category,ean,product_name,description,promotional_text,language,merchant_deep_link,merchant_image_url,delivery_time,currency,search_price,delivery_cost,in_stock,product_type,keywords
425,425,Post-a-Rose,21854267853,https://www.awin1.com/pclick.php?p=21854267853&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FDozen_Red_Rose_2015_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=386f482c1aa6cde7119e3d84f2215bf69a7d39f9,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FDozen_Red_Rose_2015_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=386f482c1aa6cde7119e3d84f2215bf69a7d39f9,393,Flowers,0,Post-a-Rose,PS-RS12RE,Flowers,5060147262391,"Dozen Red Roses","12 Select Long Stem Red Roses",,,https://www.post-a-rose.com/prod_cat/P_dozen-red-roses_876_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/Dozen_Red_Rose_2015_v1__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,24.5,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267843,https://www.awin1.com/pclick.php?p=21854267843&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2F18_gold_roses__________wi480he480moletterboxbgwhite.jpg&feedId=425&k=f4b281fd3775f7e58269a68e33fe07f81b306e59,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2F18_gold_roses__________wi480he480moletterboxbgwhite.jpg&feedId=425&k=f4b281fd3775f7e58269a68e33fe07f81b306e59,393,Flowers,0,Post-a-Rose,PS-RS18,Flowers,5060147262360,"18 Rose Bouquet","18 Colour Roses - Available in Yellow, Pink, Apricot, Cream and White",,,https://www.post-a-rose.com/prod_cat/P_18-rose-bouquet_7771_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/18_gold_roses__________wi480he480moletterboxbgwhite.jpg,"Next Day",GBP,24.5,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267849,https://www.awin1.com/pclick.php?p=21854267849&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2F18_mixed_roses__________wi480he480moletterboxbgwhite.jpg&feedId=425&k=283094d2f4c068a843e81a70286d9523211ab605,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2F18_mixed_roses__________wi480he480moletterboxbgwhite.jpg&feedId=425&k=283094d2f4c068a843e81a70286d9523211ab605,393,Flowers,0,Post-a-Rose,PS-RS18MX,Flowers,5060147260137,"18 Classic Mixed Roses","18 Classic Mixed Rose Bouquet.",,,https://www.post-a-rose.com/prod_cat/P_18-mixed-rose-bouquet_877_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/18_mixed_roses__________wi480he480moletterboxbgwhite.jpg,"Next Day",GBP,25.99,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267855,https://www.awin1.com/pclick.php?p=21854267855&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRed_Roses_18__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=37d06590fa715ad1696ee8c455d10531833e7370,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRed_Roses_18__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=37d06590fa715ad1696ee8c455d10531833e7370,393,Flowers,0,Post-a-Rose,PS-RS18RE,Flowers,5060147262407,"18 Select Red Roses","18 Select Long Stem Red Roses",,,https://www.post-a-rose.com/prod_cat/P_18-red-roses_8394_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/Red_Roses_18__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,29.5,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267845,https://www.awin1.com/pclick.php?p=21854267845&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRoses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4a611f47846dfc094c85ee04d9c7f22faecc1741,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRoses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4a611f47846dfc094c85ee04d9c7f22faecc1741,393,Flowers,0,Post-a-Rose,PS-RS24,Flowers,5060147262377,"24 Rose Bouquet","24 Colour Roses - Available in Yellow, Pink, Apricot, Cream and White",,,https://www.post-a-rose.com/prod_cat/P_24-rose-bouquet_8392_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/Roses_24__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,29.5,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267851,https://www.awin1.com/pclick.php?p=21854267851&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FMixed_Roses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=85f6b91383264b1d734b03942b911daa63687178,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FMixed_Roses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=85f6b91383264b1d734b03942b911daa63687178,393,Flowers,0,Post-a-Rose,PS-RS24MX,Flowers,5060147262384,"24 Classic Mixed Roses","24 Classic Mixed Rose Bouquet.",,,https://www.post-a-rose.com/prod_cat/P_24-mixed-rose-bouquet_8393_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/Mixed_Roses_24__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,29.99,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21854267857,https://www.awin1.com/pclick.php?p=21854267857&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRed_Roses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=986b21745f2471cba1cc4e83180ca1f46bb96fdd,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FRed_Roses_24__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=986b21745f2471cba1cc4e83180ca1f46bb96fdd,393,Flowers,0,Post-a-Rose,PS-RS24RE,Flowers,5060147262414,"24 Select Red Roses","24 Select Long Stem Red Roses",,,https://www.post-a-rose.com/prod_cat/P_two-dozen-red-roses_8395_send-roses_1449.html,https://www.post-a-rose.com/prod_cat/images/Red_Roses_24__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,34.5,0,1,main,"flowers, bouquet, roses"
425,425,Post-a-Rose,21948772455,https://www.awin1.com/pclick.php?p=21948772455&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer_Cheer_Web_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4dd5d3d315cccdeb70e53bb43eb13efbf2b9039c,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer_Cheer_Web_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4dd5d3d315cccdeb70e53bb43eb13efbf2b9039c,393,Flowers,0,Post-a-Rose,PS-SC15,Flowers,5060147263015,"Summer Cheer Bouquet","This gorgeous bouquet that oozes summer sunshine and includes fabulous sunflowers, pink roses and scented stocks. This assortment is enchanced with striking dracaena foliage  and yellow solidago. Guaranteed to brighten up someone's day!",,,https://www.post-a-rose.com/prod_cat/P_summer-cheer_8646_summer-flowers_1467.html,https://www.post-a-rose.com/prod_cat/images/Summer_Cheer_Web_v1__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,21.99,0,1,main,"flowers, bouquet"
425,425,Post-a-Rose,21948772453,https://www.awin1.com/pclick.php?p=21948772453&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer_Grace_Bouquet_Web_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=0ce8b5ee43a9184609e068d92c567a6e2d37aea5,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer_Grace_Bouquet_Web_v1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=0ce8b5ee43a9184609e068d92c567a6e2d37aea5,393,Flowers,0,Post-a-Rose,PS-SG15,Flowers,5060147263244,"Summer Grace Bouquet","This charming summer bouquet is full of scent. Lilac stocks are combined with purple statice and white roses. White gerbera and ammi finish this classic bouquet. A wonderful present from someone who loves tradition and understated elegance.",,,https://www.post-a-rose.com/prod_cat/P_summer-grace-bouquet_8709_summer-flowers_1467.html,https://www.post-a-rose.com/prod_cat/images/Summer_Grace_Bouquet_Web_v1__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,20.99,0,1,main,"flowers, bouquet"
425,425,Post-a-Rose,21948772461,https://www.awin1.com/pclick.php?p=21948772461&a=444089&m=425,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer%2520Smile%2520PS-SS18%2520Webv1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4a80694fc45e984d9d410f0f4d696e95c56fdc53,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Awww.post-a-rose.com%2Fprod_cat%2Fimages%2FSummer%2520Smile%2520PS-SS18%2520Webv1__________wi480he480moletterboxbgwhite.JPG&feedId=425&k=4a80694fc45e984d9d410f0f4d696e95c56fdc53,393,Flowers,0,Post-a-Rose,PS-SS18S,Flowers,5060147263725,"Summer Smile","An elegant and cheerful bouquet, which is sure to bring a smile to your recipient. Yellow roses are complimented by lilac bouvardia, long-lasting white carnations along with alstroemeria.",,,https://www.post-a-rose.com/prod_cat/P_summer-smile_8835_summer-flowers_1467.html,https://www.post-a-rose.com/prod_cat/images/Summer%20Smile%20PS-SS18%20Webv1__________wi480he480moletterboxbgwhite.JPG,"Next Day",GBP,19.99,0,1,main,"flowers, bouquet"
